"BASKETID","BASKETTYPE","DIRECTION","LOCATION_DESCRIPTION","OWNERTYPE","SECTION","STATEPLANE_LABELX","STATEPLANE_LABELY","STATEPLANE_SNAPPEDX","STATEPLANE_SNAPPEDY","STREETNAME1","STREETNAME2","OBJECTID","point"
"30650030","R","W","W corner of 7 AVE and 7 ST","D","BKS065","989,567.05759548","182,663.67967005","989,607.47614981","182,684.72654396","7 AVE","7 ST","23379","POINT (-73.9808334737 40.6680447052)"
"31750031","S","NW","NW corner of AV D and E 51 ST","D","BKN175","1,004,075.24117748","173,305.3509458","1,004,115.47830173","173,279.47960647","AV D","E 51 ST","10191","POINT (-73.9285629984 40.6423375481)"
"10110419","H","N","N corner of F D R DR and SOUTH ST","P","MN011","981,805.17679381","195,066.79725222","981,727.47747414","195,105.72958905","F D R DR","SOUTH ST","18434","POINT (-74.008817414 40.7020896871)"
"20710098","H",,,"P","BX071","1,010,720.08418697","255,777.35266814",,,,,"9751","POINT (-73.9042947334 40.8686845554)"
"11110093","S","NW","NW corner of 3 AV and E 98 ST","D","MN111","998,515.41305831","225,923.02097271","998,524.11153173","225,859.6730023","3 AV","E 98 ST","8842","POINT (-73.9484854204 40.7867711196)"
"10110042","H",,,"P","MN011","979,735.63696964","198,413.84469196",,,,,"4666","POINT (-74.0162835878 40.7112757283)"
"10810003","S","SE","SE corner of PARK AV and E 69 ST","D","MN081","993,926.12302432","219,414.53005272","993,920.31496505","219,463.4948498","PARK AV","E 69 ST","4380","POINT (-73.9650674163 40.7689132454)"
"10330006","R","SW","SW corner of AV D and E 3 ST","D","MN033","990,209.09469722","201,811.70797497","990,252.54375731","201,829.86181004","AV D","E 3 ST","1","POINT (-73.9785021676 40.7206011942)"
"10810148","H","SE","SE corner of YORK AV and E 67 ST","D","MN081","996,448.98576073","217,436.56123963","996,423.42424244","217,450.60964815","YORK AV","E 67 ST","21116","POINT (-73.9559630091 40.7634811122)"
"10110424","H",,,"P","MN011","982,468.01897205","195,658.73077963",,,,,"18439","POINT (-74.0064269872 40.703714564)"
"10520749","C",,,"B","MN052","988,068.41722006","214,769.23980263",,,,,"17653","POINT (-73.9862174496 40.7561675901)"
"31550018","H","SE","SE corner of AV U and E 3 ST","B","BKS155","993,003.76561706","156,886.74959672","992,962.90250981","156,936.38204338","AV U","E 3 ST","16924","POINT (-73.9684785263 40.5972897711)"
"30720039","S","S","S corner of 5 AV and 39 ST","D","BKS072","983,185.4164874","176,456.55100821","983,171.89518897","176,519.02037147","5 AV","39 ST","15225","POINT (-74.0038365501 40.6510090359)"
"30720035","S","E","E corner of 4 AV and 16 ST","D","BKS072","986,504.32586007","181,969.74405006","986,451.80332731","181,957.48390396","4 AV","16 ST","15217","POINT (-73.9918740089 40.666141316)"
"21030093","D",,,"O","BX103","1,029,495.12570506","235,079.34682013",,,,,"100685","POINT (-73.8365514335 40.8117983901)"
"41320053","D",,,"O","QE132","1,057,917.67187823","208,962.67595647",,,,,"97662","POINT (-73.7341614705 40.7399240421)"
"50210131","D",,,"O","SI021","961,254.40982457","154,441.09864813",,,,,"96349","POINT (-74.0827965784 40.5905514443)"
"31010099","D",,,"O","BKS101","973,534.5086239","172,310.45037656",,,,,"96119","POINT (-74.0386099398 40.639622466)"
"40420060","H","W","W corner of 94 ST and 59 AV","P","QW042","1,021,022.53963189","207,028.30384097","1,021,121.87145422","207,031.76774479","94 ST","59 AV","47778","POINT (-73.8673121979 40.7348450423)"
"41230047","H","W","W corner of GUY R BREWER BLVD and LIBERTY AV","D","QE123","1,041,076.73443156","194,857.7409118","1,041,150.60042556","194,848.74585106","GUY R BREWER BLVD","LIBERTY AV","16479","POINT (-73.7950528221 40.7013337491)"
"21120025","H","Direction TBD","Location Description T/K","P","BX112","1,027,025.43969956","248,983.06507564","1,027,083.90442146","248,960.51084584","Street Name TBD",,"8380","POINT (-73.8453845303 40.8499723506)"
"10420031","H","SE","SE corner of 9 AV and W 31 ST","B","MN042","984,922.64890531","212,979.00617838","984,913.34839898","213,026.8148098","9 AV","W 31 ST","866","POINT (-73.9975722575 40.7512546521)"
"30120003","S","N","N corner of METROPOLITAN AV and DRIGGS AV","D","BKN012","995,650.34857848","199,760.89711596","995,668.03817564","199,733.58352231","METROPOLITAN AV","DRIGGS AV","10135","POINT (-73.9588759561 40.7149668727)"
"40770009","S","NW","NW corner of NORTHERN BLVD and 159 ST","D","QE077","1,037,826.70845132","217,487.98830213","1,037,857.70445231","217,438.23643313","NORTHERN BLVD","159 ST","16814","POINT (-73.8065938896 40.7634683418)"
"31020140","D","Direction TBD","Location Description T/K","O","BKS102","973,619.30340181","169,675.35098797","973,695.46952651","169,627.96265642","Street Name TBD",,"96152","POINT (-74.0383002568 40.6323897819)"
"30320032","R","SE","SE corner of BEDFORD AV and DEKALB AVENUE","D","BKN032","996,684.36947632","190,934.18215789","996,647.90826315","190,977.43305564","BEDFORD AV","DEKALB AVENUE","23682","POINT (-73.9551622703 40.6907382221)"
"31510096","H","NW","NW corner of KINGS HWY and E 15 ST","B","BKS151","995,791.71115665","161,093.08698455","995,814.15008815","161,080.93412171","KINGS HWY","E 15 ST","13777","POINT (-73.9584322145 40.6088321179)"
"10910164","D","Direction TBD","Location Description T/K","O","MN091","996,029.18935622","233,885.47552021","996,002.90519745","233,895.50255284","Street Name TBD",,"100787","POINT (-73.9574495842 40.8086295518)"
"41250008","S","E","E corner of 111 AV and SUTPHIN BLVD","D","QE125","1,041,032.96352173","190,232.02542572","1,040,966.3147049","190,225.60942805","111 AV","SUTPHIN BLVD","11769","POINT (-73.7952496768 40.6886375486)"
"50230010","S","SW","SW corner of SLOSSON AV and SCHMIDTS LA","D","SI023","951,848.67699565","161,256.94754921","951,862.15761173","161,299.38217564","SLOSSON AV","SCHMIDTS LA","13869","POINT (-74.1166949688 40.6092301596)"
"20830016","S","NW","NW corner of BROADWAY and LAKEVIEW PL","D","BX083","1,012,598.02268831","266,725.90393372","1,012,660.55668397","266,693.14776564","BROADWAY","LAKEVIEW PL","9845","POINT (-73.8974585239 40.8987290558)"
"30210120","H","NE","NE corner of FRONT ST and PEARL ST","B","BKN021","987,715.62068155","195,241.31888481","987,694.31068482","195,216.71591564","FRONT ST","PEARL ST","10791","POINT (-73.9875009237 40.7025683672)"
"41210122","S","NW","NW corner of SUTPHIN BLVD and 89 AV","D","QE121","1,037,200.31206632","195,775.98021705","1,037,237.69256897","195,767.47596897","SUTPHIN BLVD","89 AV","20406","POINT (-73.80902598 40.7038781391)"
"50130064","S","NW","NW corner of CASTLETON AV and BEMENT AV","D","SI013","953,026.80980998","170,610.40390788","953,073.11319506","170,570.11166564","CASTLETON AV","BEMENT AV","14068","POINT (-74.1124951317 40.6349076528)"
"30410128","R","S","S corner of WYCKOFF AV and DEKALB AVENUE","D","BKN041","1,006,658.94499956","195,800.60516781","1,006,647.73406398","195,857.72841314","WYCKOFF AV","DEKALB AVENUE","23245","POINT (-73.9191782626 40.7040757804)"
"10340083","R","NE","NE corner of 2 AV and E 10 ST","D","MN034","987,977.83373982","205,169.0765883","987,941.00966647","205,157.29445963","2 AV","E 10 ST","23023","POINT (-73.9865497307 40.7298175774)"
"50130041","S","Direction TBD","Location Description T/K","D","SI013","952,213.91117331","162,809.65802647","952,210.36863324","162,844.92126867","Street Name TBD",,"14465","POINT (-74.1153869276 40.6134933546)"
"10810036","H","SW","SW corner of LEXINGTON AV and E 61 ST","B","MN081","993,246.26808481","217,412.86640513","993,281.41893314","217,430.57207838","LEXINGTON AV","E 61 ST","4589","POINT (-73.9675244966 40.7634199151)"
"10830173","S","NW","NW corner of MADISON AV and E 77 ST","D","MN083","994,456.22990373","221,700.61209472","994,455.6518209","221,664.16302063","MADISON AV","E 77 ST","4090","POINT (-73.9631501613 40.7751873468)"
"10520730","C","Direction TBD","Location Description T/K","B","MN052","988,883.03402914","215,611.01403771","988,901.59654787","215,644.45515916","Street Name TBD",,"2261","POINT (-73.9832765159 40.7584776562)"
"10110003","H","SE","SE corner of W THAMES ST and BATTERY PL","P","MN011","979,659.82478531","197,167.59095088","979,647.91929731","197,225.83886588","W THAMES ST","BATTERY PL","4261","POINT (-74.0165561975 40.7078550183)"
"30130044","R","S","S corner of NASSAU AV and DIAMOND ST","D","BKN013","999,031.08000597","203,408.6785343","999,049.14361815","203,453.1626973","NASSAU AV","DIAMOND ST","14990","POINT (-73.9466727642 40.7249741499)"
"21120100","D","Direction TBD","Location Description T/K","O","BX112","1,020,098.92664973","252,846.00223163","1,020,062.01174167","252,849.65509508","Street Name TBD",,"99281","POINT (-73.8704003035 40.860605788)"
