CDTA2020,tonnage
BX01,3284.0
BX02,7837.0
BX03,2206.0
BX04,4039.0
BX05,3456.0
BX06,3208.0
BX07,3778.0
BX08,2375.0
BX09,3899.0
BX10,2688.0
BX11,3231.0
BX12,4078.0
BK01,5756.0
BK02,2785.0
BK03,4396.0
BK04,4436.0
BK05,4907.0
BK06,2188.0
BK07,3377.0
BK08,5714.0
BK09,2986.0
BK10,3766.0
BK11,8149.0
BK12,6899.0
BK13,2702.0
BK14,4857.0
BK15,4667.0
BK16,3000.0
BK17,4524.0
BK18,5470.0
MN01,1504.0
MN02,2142.0
MN03,5861.0
MN04,3325.0
MN05,1680.0
MN06,3200.0
MN07,4538.0
MN08,5279.0
MN09,2277.0
MN10,6021.0
MN11,2496.0
MN12,4826.0
QN01,4116.0
QN02,3954.0
QN03,4895.0
QN04,4241.0
QN05,4788.0
QN06,2727.0
QN07,8859.0
QN08,3734.0
QN09,4078.0
QN10,3760.0
QN11,2928.0
QN12,6947.0
QN13,5325.0
QN14,3670.0
SI01,5673.0
SI02,5188.0
SI03,5787.0
