Borough_CD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,geometry
BX08,7055.0,8151.5,7515.0,7473.0,7850.0,7920.0,9274.5,8668.5,9262.0,8122.0,9235.5,8905.5,0.0,5083.0,5723.5,5293.0,7925.0,6896.0,5455.0,POINT (-73.90459140730678 40.87919896648574)
BX04,6729.0,5950.5,6446.0,6161.0,7083.5,6601.0,8287.0,8828.0,9348.5,9613.5,10042.0,8693.0,7625.0,3959.0,6329.5,8694.5,9103.5,8558.5,9564.0,POINT (-73.92188432870218 40.82662794123292)
BX05,27321.5,18760.5,18595.5,23415.5,25856.5,18696.5,22905.0,21477.0,21781.5,22788.0,21714.0,18149.0,20832.0,13006.0,12439.0,12718.5,12080.5,12470.0,11223.0,POINT (-73.89535781584335 40.86215460031517)
BX07,4721.0,7947.0,6514.0,7302.5,6217.0,6362.0,7979.5,6976.5,6892.5,6504.5,6905.5,6091.0,0.0,4201.0,3744.0,4547.5,4640.5,4824.5,4173.0,POINT (-73.87892467324478 40.8812869959873)
BX06,5841.0,4934.0,6418.0,10769.0,11164.0,5436.5,7544.5,6793.0,7072.0,7024.0,7048.5,7279.5,0.0,4073.0,4391.0,4126.0,4213.0,4255.0,3821.0,POINT (-73.88956389732787 40.844636776717664)
BX04,2760.0,3002.0,2396.0,2702.5,3047.5,3508.5,3835.0,3953.0,4014.5,3914.0,3803.5,3738.0,3391.0,2659.0,2592.5,2825.0,2317.5,2593.0,3620.0,POINT (-73.92087824799184 40.83015855511035)
BX01,12603.0,11386.5,14028.5,13277.5,14357.5,13997.5,14887.5,17708.0,17299.5,17159.0,17130.5,16013.5,12692.0,8439.0,8388.5,10124.5,10753.5,10258.5,9046.0,POINT (-73.91635737290386 40.81688745834867)
BX11,9387.0,9016.5,8446.0,8737.5,7998.5,9854.5,9547.0,8988.5,8987.5,9162.5,9994.0,9060.5,9638.0,6522.0,7646.5,7491.0,7209.5,7201.0,6251.0,POINT (-73.86767352599497 40.85558871971955)
BK07,11283.0,12390.5,11421.0,11515.5,14921.0,11153.5,14005.5,15826.5,15797.0,15188.0,13056.5,10526.5,3179.0,0.0,13261.0,8865.5,19044.0,8935.5,8860.0,POINT (-74.01119296689038 40.64426682358741)
BK06,4576.0,4525.5,5024.5,5764.5,6072.0,5573.0,5952.0,6119.0,6515.5,6466.5,5363.5,5255.0,11721.0,5666.0,4847.0,5373.5,5404.5,4854.0,5738.0,POINT (-73.98067647018506 40.676093537146265)
BK06,8419.0,10165.0,9063.0,10356.0,8922.0,9604.5,10645.5,9612.0,9323.5,9883.0,10591.5,9621.5,9850.0,6311.0,7376.5,8752.0,9023.0,8554.0,10351.0,POINT (-73.98134205800814 40.66717415129596)
BK10,9369.5,10607.0,8914.0,9322.0,11302.0,11274.0,12159.0,10698.0,12445.5,12299.0,11244.5,10603.5,10930.0,7595.0,6332.5,7621.5,7937.0,9258.0,8750.0,POINT (-74.02728680504437 40.622138829200395)
BK02,2166.0,2546.0,2170.0,3014.0,2920.0,2838.5,3428.5,3608.0,3264.5,4032.5,4748.0,4567.0,0.0,3995.0,3603.5,4121.5,4453.0,4226.0,4627.0,POINT (-73.98983165443038 40.68884781602201)
BK01,9247.0,10212.5,11168.5,11593.5,13094.0,13321.0,14718.5,15273.0,14130.0,15221.0,15070.0,16794.0,17325.0,9731.0,11260.0,15467.5,15462.5,10080.5,18908.0,POINT (-73.95802234844946 40.71755737770773)
BK13,12445.0,15659.0,13359.5,12368.5,11985.0,10853.0,12903.0,12519.5,12788.5,12273.5,12277.0,11801.5,11849.0,8890.0,8443.5,9847.5,10626.5,10398.0,9699.0,POINT (-73.96276340616195 40.57732714149917)
BK17,8945.5,7898.5,8538.5,9702.0,9046.5,7248.0,11549.5,9870.5,8764.5,8245.5,8653.5,8959.5,8373.0,0.0,5778.0,6378.5,7515.5,6512.5,7303.0,POINT (-73.94908133692475 40.650831467717424)
BK14,5325.0,5852.0,5763.5,7105.5,7489.5,6735.5,6456.0,6384.5,6637.5,7599.0,7455.5,6719.0,0.0,5313.0,5028.0,6104.5,6404.5,6090.0,6096.0,POINT (-73.96573732115321 40.64062739307868)
BK06,8180.0,7625.5,7835.0,8878.5,10457.5,8808.0,10735.5,11121.5,12483.5,10648.0,11744.0,9618.5,12519.0,6153.0,8436.0,9188.0,10305.5,9072.0,10805.0,POINT (-73.99249336775775 40.68942537824676)
BK55,3783.5,4413.5,4635.0,5210.0,5596.0,4210.5,6867.5,6082.0,5794.5,6170.0,6270.5,6688.0,6138.0,4602.0,6421.0,5984.5,5155.5,6439.0,6935.0,POINT (-73.96818725047231 40.67292523719001)
BK18,3090.0,3343.0,3076.0,3038.0,2384.0,3345.5,3878.0,3628.5,3314.0,3530.0,2869.5,2962.5,0.0,2784.0,2896.0,3509.0,2313.5,1442.0,2527.0,POINT (-73.9214952312361 40.6089208214552)
BK14,9763.0,7370.0,8696.5,9749.0,8435.0,5763.5,8922.0,7771.5,8501.0,8485.0,8159.5,8448.5,11245.0,5157.0,5522.0,5999.0,5921.0,6114.5,8149.0,POINT (-73.95882184227794 40.650810536749546)
BK08,3110.5,3397.0,3375.5,3573.0,3843.0,4604.5,4745.0,4159.0,4600.5,4579.0,5044.0,5283.5,0.0,3890.0,3915.5,4359.0,4468.5,4825.5,4734.0,POINT (-73.97390965382397 40.67918699313476)
BK02,23100.5,20058.5,20283.0,17779.0,16992.5,13190.5,19709.5,19035.5,18879.0,19604.5,18752.5,17254.5,20085.0,10074.0,11363.0,13550.0,13171.0,13307.5,13091.0,POINT (-73.98588670734839 40.69087186438648)
BK01,7710.0,6492.5,7525.0,6544.5,8102.5,6467.5,8870.0,9219.5,6667.5,6725.5,7333.0,6963.0,6875.0,5224.0,5053.0,4776.5,4369.5,4414.0,7638.0,POINT (-73.94255463338305 40.703408264633794)
BK01,4689.5,2568.5,2624.5,3363.5,3452.0,2711.5,3553.5,3821.0,3689.0,4229.5,4095.0,2930.0,0.0,1939.0,2677.0,2563.0,2859.5,2715.5,2906.0,POINT (-73.9446668043415 40.71156922033028)
BK02,9821.5,8961.5,8461.5,10859.0,8602.5,11442.5,12752.5,9922.0,10386.0,9853.0,12927.5,11128.5,10863.0,3696.0,0.0,0.0,0.0,0.0,0.0,POINT (-73.98727479290567 40.69272414021878)
BK15,7748.5,9479.0,10073.0,9336.0,11022.0,8540.5,10820.0,9381.5,8834.0,8994.0,9873.5,10391.0,0.0,0.0,7020.0,8525.5,9329.5,9256.5,9955.0,POINT (-73.95959352755617 40.608201460936)
BK02,8734.0,8762.5,7993.5,9244.0,10193.5,9151.0,8670.5,8496.5,8672.5,8119.0,8610.0,8341.5,9037.0,4891.0,5502.0,6106.5,6412.5,7065.5,8521.0,POINT (-73.99336426671383 40.69453486150852)
BK02,2064.5,1361.0,3224.5,3549.0,4623.0,4348.0,5460.5,5329.0,5336.0,5201.5,5419.5,5475.0,0.0,3781.0,4053.0,4238.0,4210.0,4611.5,4331.0,POINT (-73.96931991427776 40.693114646759874)
BK02,1727.0,1923.5,1638.5,3070.5,2841.0,3495.0,4990.0,4581.5,7024.5,5993.5,5829.0,5885.5,0.0,2832.0,3646.5,5641.0,5187.0,4389.0,5912.0,POINT (-73.9939968076081 40.702746482787724)
BK16,6888.0,6484.5,6045.0,7039.0,4915.0,5958.5,7633.5,4838.0,5301.0,6355.5,5674.0,5415.5,6300.0,4426.0,4534.5,4340.5,4511.0,3668.0,4231.0,POINT (-73.91307856842978 40.669334561930114)
