year_month,NTA2020,Complaint Type,complaint_count
2010-01,BK0101,Litter Basket / Request,2
2010-01,BK0101,Missed Collection (All Materials),13
2010-01,BK0102,Litter Basket / Request,4
2010-01,BK0102,Missed Collection (All Materials),14
2010-01,BK0102,Sweeping/Missed-Inadequate,3
2010-01,BK0103,Collection Truck Noise,1
2010-01,BK0103,Missed Collection (All Materials),8
2010-01,BK0104,Litter Basket / Request,2
2010-01,BK0104,Missed Collection (All Materials),20
2010-01,BK0201,Missed Collection (All Materials),6
2010-01,BK0201,Overflowing Litter Baskets,1
2010-01,BK0201,Sweeping/Missed-Inadequate,1
2010-01,BK0202,Collection Truck Noise,1
2010-01,BK0202,Missed Collection (All Materials),16
2010-01,BK0202,Overflowing Litter Baskets,1
2010-01,BK0203,Litter Basket / Request,2
2010-01,BK0203,Missed Collection (All Materials),3
2010-01,BK0204,Missed Collection (All Materials),6
2010-01,BK0301,Litter Basket / Request,3
2010-01,BK0301,Missed Collection (All Materials),18
2010-01,BK0301,Overflowing Litter Baskets,1
2010-01,BK0302,Litter Basket / Request,2
2010-01,BK0302,Missed Collection (All Materials),26
2010-01,BK0302,Sweeping/Missed-Inadequate,1
2010-01,BK0401,Litter Basket / Request,1
2010-01,BK0401,Missed Collection (All Materials),4
2010-01,BK0401,Sweeping/Missed-Inadequate,1
2010-01,BK0402,Missed Collection (All Materials),6
2010-01,BK0501,Litter Basket / Request,2
2010-01,BK0501,Missed Collection (All Materials),3
2010-01,BK0502,Missed Collection (All Materials),5
2010-01,BK0503,Missed Collection (All Materials),24
2010-01,BK0503,Sweeping/Missed-Inadequate,1
2010-01,BK0504,Missed Collection (All Materials),1
2010-01,BK0505,Missed Collection (All Materials),9
2010-01,BK0601,Litter Basket / Request,2
2010-01,BK0601,Missed Collection (All Materials),24
2010-01,BK0601,Sweeping/Missed-Inadequate,2
2010-01,BK0602,Litter Basket / Request,1
2010-01,BK0602,Missed Collection (All Materials),23
2010-01,BK0702,Missed Collection (All Materials),4
2010-01,BK0703,Litter Basket / Request,3
2010-01,BK0703,Missed Collection (All Materials),3
2010-01,BK0801,Missed Collection (All Materials),4
2010-01,BK0802,Collection Truck Noise,1
2010-01,BK0802,Litter Basket / Request,1
2010-01,BK0802,Missed Collection (All Materials),10
2010-01,BK0802,Sweeping/Missed-Inadequate,2
2010-01,BK0901,Litter Basket / Request,5
2010-01,BK0901,Missed Collection (All Materials),8
2010-01,BK0902,Missed Collection (All Materials),9
2010-01,BK0902,Overflowing Litter Baskets,1
2010-01,BK0902,Sweeping/Missed-Inadequate,1
2010-01,BK1001,Collection Truck Noise,1
2010-01,BK1001,Litter Basket / Request,1
