year_month,Complaint Type,census_tract_id,complaint_count
2010-01,Basket Complaint,36005007300,1
2010-01,Basket Complaint,36005008300,2
2010-01,Basket Complaint,36005011800,1
2010-01,Basket Complaint,36005013200,1
2010-01,Basket Complaint,36005013500,1
2010-01,Basket Complaint,36005016700,2
2010-01,Basket Complaint,36005020000,1
2010-01,Basket Complaint,36005021100,3
2010-01,Basket Complaint,36005022200,1
2010-01,Basket Complaint,36005024000,1
2010-01,Basket Complaint,36005028600,1
2010-01,Basket Complaint,36005028800,1
2010-01,Basket Complaint,36005037300,1
2010-01,Basket Complaint,36005038301,1
2010-01,Basket Complaint,36005038800,1
2010-01,Basket Complaint,36005039600,1
2010-01,Basket Complaint,36005040600,1
2010-01,Basket Complaint,36005051601,1
2010-01,Basket Complaint,36047000700,1
2010-01,Basket Complaint,36047004100,1
2010-01,Basket Complaint,36047004500,1
2010-01,Basket Complaint,36047006800,1
2010-01,Basket Complaint,36047007700,1
2010-01,Basket Complaint,36047009800,1
2010-01,Basket Complaint,36047010000,1
2010-01,Basket Complaint,36047010200,1
2010-01,Basket Complaint,36047013600,1
2010-01,Basket Complaint,36047014200,1
2010-01,Basket Complaint,36047015100,1
2010-01,Basket Complaint,36047019800,1
2010-01,Basket Complaint,36047021100,2
2010-01,Basket Complaint,36047021300,2
2010-01,Basket Complaint,36047022700,1
2010-01,Basket Complaint,36047023000,1
2010-01,Basket Complaint,36047023300,1
2010-01,Basket Complaint,36047024500,1
2010-01,Basket Complaint,36047026300,1
2010-01,Basket Complaint,36047027900,1
2010-01,Basket Complaint,36047028400,1
2010-01,Basket Complaint,36047028600,1
2010-01,Basket Complaint,36047028800,1
2010-01,Basket Complaint,36047029200,2
2010-01,Basket Complaint,36047029600,2
2010-01,Basket Complaint,36047030100,1
2010-01,Basket Complaint,36047032500,2
2010-01,Basket Complaint,36047032900,1
2010-01,Basket Complaint,36047033500,1
2010-01,Basket Complaint,36047035101,1
2010-01,Basket Complaint,36047038300,1
2010-01,Basket Complaint,36047038800,1
2010-01,Basket Complaint,36047039400,1
2010-01,Basket Complaint,36047042300,1
2010-01,Basket Complaint,36047044200,1
2010-01,Basket Complaint,36047046202,1
2010-01,Basket Complaint,36047048000,1
2010-01,Basket Complaint,36047048400,1
2010-01,Basket Complaint,36047049000,1
2010-01,Basket Complaint,36047049700,1
2010-01,Basket Complaint,36047050500,1
