unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,intersection_street_1,intersection_street_2,address_type,city,facility_type,status,resolution_action_updated_date,community_board,borough,x_coordinate_state_plane_,y_coordinate_state_plane_,park_facility_name,park_borough,latitude,longitude,location,incident_address,street_name,cross_street_1,cross_street_2,landmark
45520594,2020-01-31T10:31:00.000,2020-02-25T12:00:00.000,DSNY,Department of Sanitation,Sweeping/Missed,3A Sweeping/Missed,Sidewalk,10035,5 AVENUE,EAST 119 STREET,INTERSECTION,NEW YORK,DSNY Garage,Closed,2020-02-25T12:00:00.000,10 MANHATTAN,MANHATTAN,999463,231690,Unspecified,MANHATTAN,40.802598371723896,-73.94505047671012,"{'type': 'Point', 'coordinates': [-73.94505047671012, 40.802598371723896]}",,,,,
45506713,2020-01-30T13:51:00.000,2020-01-30T13:51:00.000,DSNY,Department of Sanitation,Sweeping/Missed,3A Sweeping/Missed,Sidewalk,10021,,,ADDRESS,NEW YORK,DSNY Garage,Closed,2020-01-30T13:51:00.000,08 MANHATTAN,MANHATTAN,995364,219611,Unspecified,MANHATTAN,40.769450853068314,-73.95987609181154,"{'type': 'Point', 'coordinates': [-73.95987609181154, 40.769450853068314]}",225 EAST   72 STREET,EAST   72 STREET,,,
45512774,2020-01-30T13:31:00.000,2020-01-31T12:00:00.000,DSNY,Department of Sanitation,Sweeping/Missed,3A Sweeping/Missed,Sidewalk,11223,,,BLOCKFACE,BROOKLYN,DSNY Garage,Closed,2020-01-31T12:00:00.000,15 BROOKLYN,BROOKLYN,993017,153713,Unspecified,BROOKLYN,40.5885784925072,-73.96843498867226,"{'type': 'Point', 'coordinates': [-73.96843498867226, 40.5885784925072]}",AVENUE Y,AVENUE Y,EAST    1 STREET,EAST    2 STREET,
45511442,2020-01-30T10:20:00.000,2020-01-31T12:00:00.000,DSNY,Department of Sanitation,Sweeping/Missed,3A Sweeping/Missed,Sidewalk,11226,MARLBOROUGH ROAD,NEWKIRK AVENUE,INTERSECTION,BROOKLYN,DSNY Garage,Closed,2020-01-31T12:00:00.000,14 BROOKLYN,BROOKLYN,994423,170815,Unspecified,BROOKLYN,40.635518453251755,-73.96334701353732,"{'type': 'Point', 'coordinates': [-73.96334701353732, 40.635518453251755]}",,,,,
45510656,2020-01-30T10:06:00.000,2020-01-31T12:00:00.000,DSNY,Department of Sanitation,Sweeping/Missed,3A Sweeping/Missed,Sidewalk,11375,,,BLOCKFACE,Forest Hills,N/A,Closed,2020-01-31T12:00:00.000,06 QUEENS,QUEENS,1029078,200527,Unspecified,QUEENS,40.716963453679504,-73.8382887302816,"{'type': 'Point', 'coordinates': [-73.8382887302816, 40.716963453679504]}",AUSTIN STREET,AUSTIN STREET,75 AVENUE,75 ROAD,
45509886,2020-01-29T21:36:00.000,2020-01-30T12:00:00.000,DSNY,Department of Sanitation,Sweeping/Missed,3A Sweeping/Missed,Sidewalk,,,,,,DSNY Garage,Closed,2020-01-30T12:00:00.000,06 BROOKLYN,BROOKLYN,,,Unspecified,BROOKLYN,,,,,,,,
45497824,2020-01-29T13:29:00.000,2020-02-04T12:00:00.000,DSNY,Department of Sanitation,Sweeping/Missed,3A Sweeping/Missed,Sidewalk,11219,NEW UTRECHT AVENUE,63 STREET,INTERSECTION,BROOKLYN,DSNY Garage,Closed,2020-02-04T12:00:00.000,11 BROOKLYN,BROOKLYN,985016,167086,Unspecified,BROOKLYN,40.625288944452585,-73.99724055011724,"{'type': 'Point', 'coordinates': [-73.99724055011724, 40.625288944452585]}",,,,,
45499812,2020-01-29T10:54:00.000,2020-01-31T12:00:00.000,DSNY,Department of Sanitation,Sweeping/Missed,3A Sweeping/Missed,Sidewalk,11423,,,ADDRESS,Hollis,N/A,Closed,2020-01-31T12:00:00.000,12 QUEENS,QUEENS,1048517,197799,Unspecified,QUEENS,40.70935591598389,-73.76819134682196,"{'type': 'Point', 'coordinates': [-73.76819134682196, 40.70935591598389]}",99-07 FARMERS BOULEVARD,FARMERS BOULEVARD,,,
45500841,2020-01-29T10:03:00.000,2020-01-29T12:00:00.000,DSNY,Department of Sanitation,Sweeping/Missed,3A Sweeping/Missed,Sidewalk,11377,64 STREET,WOODSIDE AVENUE,INTERSECTION,Woodside,DSNY Garage,Closed,2020-01-29T12:00:00.000,02 QUEENS,QUEENS,1011705,210380,Unspecified,QUEENS,40.744078480738736,-73.90091932987373,"{'type': 'Point', 'coordinates': [-73.90091932987373, 40.744078480738736]}",,,,,
45496997,2020-01-28T18:26:00.000,2020-01-30T12:00:00.000,DSNY,Department of Sanitation,Sweeping/Missed,3A Sweeping/Missed,Sidewalk,10451,EAST 159 STREET,GRAND CONCOURSE,INTERSECTION,BRONX,N/A,Closed,2020-01-30T12:00:00.000,04 BRONX,BRONX,1005543,240255,Unspecified,BRONX,40.82609433438945,-73.92306228730386,"{'type': 'Point', 'coordinates': [-73.92306228730386, 40.82609433438945]}",,,,,
