year,month,Complaint Type,Borough,count
2010,1,Basket,BRONX,22
2010,1,Basket,BROOKLYN,85
2010,1,Basket,MANHATTAN,51
2010,1,Basket,QUEENS,57
2010,1,Basket,STATEN ISLAND,17
2010,1,Collection,BRONX,228
2010,1,Collection,BROOKLYN,609
2010,1,Collection,MANHATTAN,182
2010,1,Collection,QUEENS,712
2010,1,Collection,STATEN ISLAND,374
2010,1,Sweeping,BRONX,6
2010,1,Sweeping,BROOKLYN,29
2010,1,Sweeping,MANHATTAN,10
2010,1,Sweeping,QUEENS,13
2010,1,Sweeping,STATEN ISLAND,1
2010,2,Basket,BRONX,21
2010,2,Basket,BROOKLYN,78
2010,2,Basket,MANHATTAN,23
2010,2,Basket,QUEENS,52
2010,2,Basket,STATEN ISLAND,14
2010,2,Collection,BRONX,120
2010,2,Collection,BROOKLYN,480
2010,2,Collection,MANHATTAN,111
2010,2,Collection,QUEENS,597
2010,2,Collection,STATEN ISLAND,207
2010,2,Sweeping,BRONX,7
2010,2,Sweeping,BROOKLYN,50
2010,2,Sweeping,MANHATTAN,21
2010,2,Sweeping,QUEENS,22
2010,2,Sweeping,STATEN ISLAND,2
2010,3,Basket,BRONX,37
2010,3,Basket,BROOKLYN,133
2010,3,Basket,MANHATTAN,76
2010,3,Basket,QUEENS,106
2010,3,Basket,STATEN ISLAND,26
2010,3,Collection,BRONX,144
2010,3,Collection,BROOKLYN,531
2010,3,Collection,MANHATTAN,97
2010,3,Collection,QUEENS,511
2010,3,Collection,STATEN ISLAND,289
2010,3,Sweeping,BRONX,9
2010,3,Sweeping,BROOKLYN,51
2010,3,Sweeping,MANHATTAN,5
2010,3,Sweeping,QUEENS,23
2010,3,Sweeping,STATEN ISLAND,2
2010,4,Basket,BRONX,34
2010,4,Basket,BROOKLYN,108
2010,4,Basket,MANHATTAN,79
2010,4,Basket,QUEENS,99
2010,4,Basket,STATEN ISLAND,43
2010,4,Collection,BRONX,120
2010,4,Collection,BROOKLYN,367
2010,4,Collection,MANHATTAN,87
2010,4,Collection,QUEENS,403
2010,4,Collection,STATEN ISLAND,226
2010,4,Sweeping,BRONX,6
2010,4,Sweeping,BROOKLYN,40
2010,4,Sweeping,MANHATTAN,14
2010,4,Sweeping,QUEENS,18
2010,4,Sweeping,STATEN ISLAND,2
2010,5,Basket,BRONX,35
2010,5,Basket,BROOKLYN,126
2010,5,Basket,MANHATTAN,94
2010,5,Basket,QUEENS,77
2010,5,Basket,STATEN ISLAND,23
2010,5,Collection,BRONX,109
2010,5,Collection,BROOKLYN,378
2010,5,Collection,MANHATTAN,83
2010,5,Collection,QUEENS,424
2010,5,Collection,STATEN ISLAND,215
2010,5,Sweeping,BRONX,5
2010,5,Sweeping,BROOKLYN,35
2010,5,Sweeping,MANHATTAN,12
2010,5,Sweeping,QUEENS,20
2010,6,Basket,BRONX,64
2010,6,Basket,BROOKLYN,168
2010,6,Basket,MANHATTAN,92
2010,6,Basket,QUEENS,151
2010,6,Basket,STATEN ISLAND,33
2010,6,Collection,BRONX,133
2010,6,Collection,BROOKLYN,403
2010,6,Collection,MANHATTAN,104
2010,6,Collection,QUEENS,432
2010,6,Collection,STATEN ISLAND,255
2010,6,Sweeping,BRONX,5
2010,6,Sweeping,BROOKLYN,47
2010,6,Sweeping,MANHATTAN,10
2010,6,Sweeping,QUEENS,19
2010,6,Sweeping,STATEN ISLAND,1
2010,7,Basket,BRONX,36
2010,7,Basket,BROOKLYN,141
2010,7,Basket,MANHATTAN,58
2010,7,Basket,QUEENS,96
2010,7,Basket,STATEN ISLAND,41
2010,7,Basket,Unspecified,1
2010,7,Collection,BRONX,106
2010,7,Collection,BROOKLYN,366
2010,7,Collection,MANHATTAN,113
2010,7,Collection,QUEENS,451
2010,7,Collection,STATEN ISLAND,200
2010,7,Sweeping,BRONX,7
2010,7,Sweeping,BROOKLYN,85
2010,7,Sweeping,MANHATTAN,7
2010,7,Sweeping,QUEENS,26
2010,7,Sweeping,STATEN ISLAND,3
2010,8,Basket,BRONX,48
2010,8,Basket,BROOKLYN,147
2010,8,Basket,MANHATTAN,71
2010,8,Basket,QUEENS,109
2010,8,Basket,STATEN ISLAND,32
2010,8,Collection,BRONX,84
2010,8,Collection,BROOKLYN,339
2010,8,Collection,MANHATTAN,116
2010,8,Collection,QUEENS,389
2010,8,Collection,STATEN ISLAND,198
2010,8,Sweeping,BRONX,5
2010,8,Sweeping,BROOKLYN,57
2010,8,Sweeping,MANHATTAN,11
2010,8,Sweeping,QUEENS,28
2010,8,Sweeping,STATEN ISLAND,2
2010,9,Basket,BRONX,30
2010,9,Basket,BROOKLYN,123
2010,9,Basket,MANHATTAN,70
2010,9,Basket,QUEENS,101
2010,9,Basket,STATEN ISLAND,34
2010,9,Collection,BRONX,114
2010,9,Collection,BROOKLYN,383
2010,9,Collection,MANHATTAN,125
2010,9,Collection,QUEENS,438
2010,9,Collection,STATEN ISLAND,209
2010,9,Sweeping,BRONX,8
2010,9,Sweeping,BROOKLYN,36
2010,9,Sweeping,MANHATTAN,6
2010,9,Sweeping,QUEENS,10
2010,9,Sweeping,STATEN ISLAND,1
2010,10,Basket,BRONX,38
2010,10,Basket,BROOKLYN,123
2010,10,Basket,MANHATTAN,60
2010,10,Basket,QUEENS,93
2010,10,Basket,STATEN ISLAND,24
2010,10,Collection,BRONX,74
2010,10,Collection,BROOKLYN,364
2010,10,Collection,MANHATTAN,110
2010,10,Collection,QUEENS,494
2010,10,Collection,STATEN ISLAND,218
2010,10,Sweeping,BRONX,6
2010,10,Sweeping,BROOKLYN,62
2010,10,Sweeping,MANHATTAN,15
2010,10,Sweeping,QUEENS,43
2010,10,Sweeping,STATEN ISLAND,1
2010,11,Basket,BRONX,33
2010,11,Basket,BROOKLYN,61
2010,11,Basket,MANHATTAN,43
2010,11,Basket,QUEENS,58
2010,11,Basket,STATEN ISLAND,13
2010,11,Collection,BRONX,99
2010,11,Collection,BROOKLYN,381
2010,11,Collection,MANHATTAN,121
2010,11,Collection,QUEENS,472
2010,11,Collection,STATEN ISLAND,264
2010,11,Sweeping,BRONX,9
